0;0;0;0;0;0;0;0
476;552;158;133;228;384;2;0
321;241;133;57;228;238;2;0
750;743;138;591;416;80;3;1
16;439;138;157;25;140;3;0
697;413;37;121;228;386;2;0
428;210;8;666;199;360;2;1
43;354;23;342;315;344;2;0
558;436;138;699;340;92;3;1
585;357;321;531;353;7;2;1
25;779;13;128;228;4;2;1
796;573;129;307;228;477;2;0
505;399;245;33;172;414;2;0
632;60;291;778;228;341;2;0
596;795;10;187;448;290;2;0
331;787;137;593;228;495;2;0
223;809;138;758;434;454;3;1
90;76;138;315;99;144;3;1
533;197;138;151;56;110;3;1
118;606;135;286;228;360;2;0
828;829;138;36;263;491;3;1
27;652;20;588;138;365;2;1
366;150;139;294;247;255;2;1
424;172;138;449;180;28;3;1
279;265;138;222;339;65;3;1
619;554;174;459;228;201;2;0
238;571;41;736;146;243;2;1
275;205;138;242;39;43;3;1
256;86;123;664;228;151;2;1
438;629;215;338;228;152;2;0
487;487;138;13;144;2;3;1
734;255;138;499;224;475;3;1
201;776;104;60;437;458;2;0
511;380;3;96;228;236;2;0
832;643;201;597;250;378;2;1
4;275;138;229;233;527;3;0
491;459;138;225;228;482;3;1
423;763;138;655;282;46;3;1
220;561;138;837;228;76;3;1
327;303;136;832;369;359;2;0
185;373;45;810;228;23;2;0
124;764;53;628;228;360;2;0
19;627;6;154;314;240;2;0
559;668;81;814;440;371;2;1
334;250;138;385;212;214;3;1
40;454;138;249;40;44;3;1
350;480;138;740;228;282;3;1
187;596;265;31;154;375;2;1
247;299;41;134;269;400;2;1
451;398;138;562;228;581;3;1
833;831;138;272;228;84;3;1
727;102;138;359;117;48;3;1
716;710;138;117;403;395;3;1
0;51;151;219;228;262;2;0
517;182;23;349;228;525;2;0
7;716;270;353;228;11;2;0
112;410;61;332;228;430;2;1
13;262;138;709;228;61;3;1
300;677;216;216;35;148;2;0
765;756;138;683;226;476;3;0
749;694;138;717;323;80;3;1
398;773;190;501;228;573;2;0
156;799;41;508;228;263;2;0
479;679;240;71;307;420;2;0
800;65;90;130;228;417;2;1
523;741;138;823;422;443;3;0
639;820;323;26;456;458;2;1
75;402;41;544;228;499;2;0
147;201;54;815;228;548;2;1
696;689;67;767;397;564;2;0
746;671;332;417;417;445;2;1
633;212;138;110;370;87;3;1
440;377;215;358;228;415;2;0
553;434;224;710;348;345;2;0
590;471;138;638;228;528;3;1
582;92;41;806;371;398;2;1
157;198;84;103;75;232;2;1
95;437;138;143;228;174;3;1
8;290;12;45;141;257;2;0
797;420;125;742;36;462;2;1
184;601;102;797;371;202;2;1
197;141;138;611;160;567;3;1
293;80;167;204;228;560;2;1
354;119;225;503;228;261;2;1
262;305;117;765;436;184;2;0
450;538;138;635;347;524;3;0
403;543;202;236;162;455;2;1
77;604;41;2;22;532;2;1
513;474;138;115;228;570;3;1
380;620;264;671;254;166;2;0
621;103;61;371;48;541;2;1
94;164;138;716;228;48;3;1
709;781;299;477;302;191;2;0
355;526;141;210;228;347;2;1
640;798;138;721;19;482;3;1
762;31;315;300;228;360;2;1
445;637;220;193;294;455;2;1
244;246;104;361;213;529;2;1
351;261;115;251;189;311;2;0
636;149;101;603;342;278;2;0
359;29;138;21;83;484;3;0
630;811;138;745;120;52;3;1
662;559;138;693;228;173;3;0
743;361;138;676;414;500;3;1
463;426;230;351;329;458;2;0
274;204;138;123;191;439;3;1
